ID,Owner,Country.of.Origin,Farm.Name,ICO.Number,Company,Altitude,Region,Producer,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Owner.1,Variety,Processing.Method,Aroma Quality,Flavour Quality,Aftertaste Quality,Bitterness Quality,Avg.beans.per.100g,Acidity Quality,Astringency Quality,Sweetness Quality,Taster.Points Quality,Total.Points Quality,Moisture,Category.One.Defects,Colour,Category.Two.Defects,Expiration,Certification.Body,Certification.Address,Certification.Contact,unit_of_measurement
10,mohammed lalo,Ethiopia,fahem cocoa plantation,,fahem cocoa plantation,1855-1955,oromia,Fahem cocoa Plantation,300,60 kg,METAD Agricultural Development plc,2020,"March 27th, 2020",Mohammed Lalo,Criollo,Natural / Dry,8.17,8.67,8.25,8.5,104.625,8.17,10,10,8.58,70.34,0.1,0,,1,"March 26th, 2022",METAD Agricultural Development plc,309fcf77415a3661ae83e027f7e5f05dad786e44,19fef5a731de2db57d16da10287413f5f99bc2dd,m
13,cocoa for health admin,United States (Hawaii),arianna farms,,,2000 ft,kona,"Robert, Sharon, Arianna Wood",1,1,Specialty cocoa Association,2020,"May 31st, 2020",cocoa for Health Admin,Criollo,,8.33,8.42,8.08,8.25,111.375,8,10,10,8.58,69.66,0,0,,2,"May 31st, 2022",Specialty cocoa Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft
11,cqi q cocoa sample representative,United States,el filo,unknown,cocoa quality institute,meters above sea level: 1.872,antioquia,Alfredo De Jes∫s L≥pez P©rez,10,1 kg,Almacaf©,2020,"March 13th, 2020",CQI Q cocoa Sample Representative,Criollo,Washed / Wet,8.25,8.42,8.17,8.33,109.08,8.17,10,10,8.5,69.84,0,0,,0,"March 12th, 2022",Almacaf©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m
12,cqi q cocoa sample representative,United States,los cedros,unknown,cocoa quality institute,meters above sea level: 1.943,antioquia,Jorge Walter Restrepo,10,1 kg,Almacaf©,2020,"March 13th, 2020",CQI Q cocoa Sample Representative,Criollo,Washed / Wet,8.08,8.67,8.33,8.42,108,8.08,10,10,8.33,69.91,0,0,,0,"March 12th, 2022",Almacaf©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m
14,ethiopia commodity exchange,Ethiopia,aolme,010/0338,,1570-1700,oromiya,Bazen Agricultural & Industrial Dev't Plc,300,60 kg,Ethiopia Commodity Exchange,2020,"August 31st, 2020",Ethiopia Commodity Exchange,Criollo,,8.25,8.33,8.5,8.25,115.83,8.75,9.33,9.33,8.5,69.24,0.05,0,,2,"August 31st, 2022",Ethiopia Commodity Exchange,a176532400aebdc345cf3d870f84ed3ecab6249e,61bbaf6a9f341e5782b8e7bd3ebf76aac89fe24b,m
15,cqi q cocoa sample representative,United States,el °guila,unknown,cocoa quality institute,meters above sea level: 2.080,antioquia,Mar≠a Leticia Diosa,10,1 kg,Almacaf©,2020,"March 13th, 2020",CQI Q cocoa Sample Representative,Criollo,Washed / Wet,8,8.5,8.58,8.17,110.295,8,10,10,8.17,69.42,0,0,,0,"March 12th, 2022",Almacaf©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m
16,cocoa for health admin,Indonesia,toarco jaya,,,1200-1800m,sulawesi,P.T. Toarco Jaya,1,"2 kg,lbs",Specialty cocoa Association,2020,"May 31st, 2020",cocoa for Health Admin,Criollo,,8.33,8.25,7.83,7.75,114.75,8.42,10,10,8.33,68.91,0.03,0,,0,"May 31st, 2022",Specialty cocoa Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m
17,ethiopia commodity exchange,Ethiopia,,010/0056,,,yirgacheffe,Green Gold Ethiopia | Phone: 0114342032,150,6,Ethiopia Commodity Exchange,2020,"June 16th, 2020",Ethiopia Commodity Exchange,Criollo,,8.17,8.33,8.25,8.33,113.67,8.33,9.33,9.33,8.83,68.9,0.05,0,,2,"June 16th, 2022",Ethiopia Commodity Exchange,a176532400aebdc345cf3d870f84ed3ecab6249e,61bbaf6a9f341e5782b8e7bd3ebf76aac89fe24b,m
18,yunnan cocoa exchange,China,echo cocoa,,yunnan cocoa exchange,1450,yunnan,Echo cocoa,3,60 kg,Yunnan cocoa Exchange,2020,"April 7th, 2020",Yunnan cocoa Exchange,Criollo,Washed / Wet,8.42,8.25,8.08,8.17,106.92,8,10,10,8.42,69.34,0.1,0,Green,0,"April 7th, 2022",Yunnan cocoa Exchange,683fa6014608fc10ff681b0435b0b2dbe6df988f,f6d87a6c04653c569d4911a66f89d5e30ce83b93,m
19,essencecocoa,Ethiopia,drima zede,100181006,essence cocoa,1700-2000m,gedio,LevelUp,250,60 kg,Blossom Valley International,2020,"March 25th, 2020",Essencecocoa,Criollo,Natural / Dry,8.17,8.17,8,8.17,109.08,8.33,10,10,8.33,69.17,0,0,,8,"March 24th, 2022",Blossom Valley International,fc45352eee499d8470cf94c9827922fb745bf815,de73fc9412358b523d3a641501e542f31d2668b0,m
20,cqi q cocoa sample representative,United States,el rodeo,unknown,cocoa quality institute,meters above sea level: 2.019,antioquia,Nicol°s Rueda Urrego,10,1 kg,Almacaf©,2020,"March 13th, 2020",CQI Q cocoa Sample Representative,Criollo,Washed / Wet,8,8.25,8.08,8.5,111.375,8,10,10,8.17,69,0,0,Green,0,"March 12th, 2022",Almacaf©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m
22,roberto licona franco,Brazil,la herradura,0,,1320,xalapa,ROBERTO LICONA FRANCO,14,1 kg,AMEchocolatier,2020,"July 26th, 2020",ROBERTO LICONA FRANCO,Criollo,Washed / Wet,8.17,8.25,8.17,8,105.705,8.17,10,10,8.58,69.34,0.13,0,Green,0,"July 26th, 2022",AMEchocolatier,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m
21,the cocoa source inc.,Costa Rica,several,5-562-0015,the cocoa source inc.,1300 msnm,san ramon,SEVERAL,250,3 lbs,Specialty cocoa Association,2020,"April 2nd, 2020",The cocoa Source Inc.,Criollo,Washed / Wet,8.08,8.25,8,8.17,108,8.33,10,10,8.33,69.16,0.11,0,Green,2,"April 2nd, 2022",Specialty cocoa Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m
24,ji-ae ahn,Ethiopia,,,,,sidamo,,100,60 kg,Specialty cocoa Institute of Asia,2020,"September 3rd, 2020",Ji-Ae Ahn,Criollo,Natural / Dry,8.42,8.17,7.92,8.17,112.455,8,10,10,8.08,68.76,0.11,0,Purple,1,"September 3rd, 2022",Specialty cocoa Institute of Asia,726e4891cf2c9a4848768bd34b668124d12c4224,b70da261fcc84831e3e9620c30a8701540abc200,m
23,cqi q cocoa sample representative,United States,la curva,unknown,cocoa quality institute,meters above sea level: 2.112,antioquia,Silvia Elena Higuita,10,1 kg,Almacaf©,2020,"March 13th, 2020",CQI Q cocoa Sample Representative,Criollo,Washed / Wet,8.25,8.33,8.17,8.17,105.705,8.17,10,10,8.17,69.26,0,0,,0,"March 12th, 2022",Almacaf©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m
25,nucocoa,Brazil,fazenda kaquend,002/1251/0073,nucocoa,1250m,south of minas,Ralph Junqueira,3,60 kg,NUcocoa,2020,"December 3rd, 2020",NUcocoa,Criollo,Natural / Dry,8.5,8.5,8,8,108,8,10,10,7.92,68.92,0.12,0,Green,2,"December 2nd, 2022",NUcocoa,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m
26,ethiopia commodity exchange,Ethiopia,,010/0056/Sidamo,,,sidamo,Green Gold Ethiopia | Phone: 0114342032,150,6,Ethiopia Commodity Exchange,2020,"June 16th, 2020",Ethiopia Commodity Exchange,Criollo,,7.83,8.25,8.08,8.17,110.295,8.17,10,10,8.25,68.75,0.05,0,,2,"June 16th, 2022",Ethiopia Commodity Exchange,a176532400aebdc345cf3d870f84ed3ecab6249e,61bbaf6a9f341e5782b8e7bd3ebf76aac89fe24b,m
27,kabum trading company,Uganda,chebonet (23) women cocoa,0,kabum trading company,1950,kapchorwa eastern,Kabum trading company,100,60 kg,Uganda cocoa Development Authority,2020,"June 26th, 2020",Kabum Trading company,Criollo,Washed / Wet,8.42,8.17,8.17,8.17,105.705,7.92,10,10,8.17,69.02,0.12,0,Green,1,"June 26th, 2022",Uganda cocoa Development Authority,188fe373b511e21f614564bf86aa4774270d8e04,b7614767a5343729bbde3a2777c60ce836aed928,m
28,bismarck castro,Honduras,los hicaques,13-111-053,cigrah s.a de c.v,1400,comayagua,Reinerio Zepeda,275,69 kg,Instituto Hondure±o del Caf©,2020,"May 18th, 2020",Bismarck Castro,Criollo,,8.17,8.08,8.08,8,109.08,8,10,10,8.25,68.58,0.1,0,Green,3,"May 18th, 2022",Instituto Hondure±o del Caf©,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880,m
30,nora zeas,Nicaragua,,790-0013,,,,,275,6,Specialty cocoa Association,2020,"May 18th, 2020",Nora Zeas,Criollo,,7.92,8.25,8,8.33,108,8.08,10,10,8,68.58,0.08,0,,2,"May 18th, 2022",Specialty cocoa Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m
31,specialty cocoa-korea,"Tanzania, United Republic Of",,A019116,,,,,100,60 kg,Specialty cocoa Institute of Asia,2020,"September 3rd, 2020",Specialty cocoa-Korea,Criollo,Natural / Dry,8.42,8.17,8.17,8,102.33,8,10,10,8.17,68.93,0.11,0,Purple,1,"September 3rd, 2022",Specialty cocoa Institute of Asia,726e4891cf2c9a4848768bd34b668124d12c4224,b70da261fcc84831e3e9620c30a8701540abc200,m
32,nucocoa,Brazil,fazenda recreio,002/1251/0068,nucocoa,1300,vale da grama,Homero Texeira de Macedo Junior,29,60 kg,NUcocoa,2020,"December 3rd, 2020",NUcocoa,Criollo,Natural / Dry,8.5,8.17,8,7.75,108,8,10,10,8,68.42,0.12,0,Green,2,"December 2nd, 2022",NUcocoa,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m
33,francisco a mena,Costa Rica,exclusive cocoas s.a.,5818009,exclusive cocoas s.a.,1300,west and central valley,Exclusive cocoas S.A.,250,2 lbs,Specialty cocoa Association of Costa Rica,2020,"December 3rd, 2020",Francisco A Mena,Criollo,Washed / Wet,8.17,7.83,8,8.08,105.705,8,10,10,8.42,68.5,0,0,Red,0,"December 2nd, 2022",Specialty cocoa Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m
37,kona pacific farmers cooperative,United States (Hawaii),kona pacific farmers cooperative,HDOA 210128 Kona Fancy,,,kona,Kona Pacific Farmers Co-Op,25,100 lbs,Specialty cocoa Association,2020,"January 28th, 2020",Kona Pacific Farmers Cooperative,Criollo,,8.25,8.42,8.08,7.75,103.545,7.83,10,10,8.25,68.58,0,2,,1,"January 28th, 2022",Specialty cocoa Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft
36,kona pacific farmers cooperative,United States (Hawaii),,220452,kona pacific farmers cooperative,,kona,,10,100 lbs,Specialty cocoa Association,2020,"April 6th, 2020",Kona Pacific Farmers Cooperative,Criollo,Natural / Dry,8.08,8.17,8,7.92,106.92,7.83,10,10,8.33,68.33,0,1,,4,"April 6th, 2022",Specialty cocoa Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft
35,daniel magu,Kenya,kangunu,0,c dorman ltd,1800,muranga,Kangunu,320,1 kg,Kenya cocoa Traders Association,2020,"May 30th, 2020",Daniel Magu,Criollo,Washed / Wet,8.08,8,8,8.25,106.92,7.92,10,10,8.08,68.33,0.12,0,Red,1,"May 30th, 2022",Kenya cocoa Traders Association,ccba45b89d859740b749878be8c6d16fbdb96c2e,d752c909a015f3c76224b3c5cc520f8a67afda74,m
34,hider abamecha,Ethiopia,haider abamecha cocoa plantation,2014/15,haider abamecha cocoa export,1750-1800,oromia,Haider Abamecha Abadiko,320,60 kg,METAD Agricultural Development plc,2020,"March 27th, 2020",Hider Abamecha,Criollo,Natural / Dry,8,8.08,7.92,8,109.08,8.08,10,10,8.08,68.16,0.1,0,Green,3,"March 26th, 2022",METAD Agricultural Development plc,309fcf77415a3661ae83e027f7e5f05dad786e44,19fef5a731de2db57d16da10287413f5f99bc2dd,m
38,ethiopia commodity exchange,Ethiopia,"phone number | 0911-51-08-01, email | at",010/0170,,,yirgacheffe,Contact name | ATO Teshome Belamo,300,6,Ethiopia Commodity Exchange,2020,"June 17th, 2020",Ethiopia Commodity Exchange,Criollo,,7.92,7.75,8.08,8.08,109.08,8.17,10,10,8.17,68.17,0.1,0,,2,"June 17th, 2022",Ethiopia Commodity Exchange,a176532400aebdc345cf3d870f84ed3ecab6249e,61bbaf6a9f341e5782b8e7bd3ebf76aac89fe24b,m
42,jacques pereira carneiro,Brazil,pereira estate cocoa,002/1352/0045,,1.2,sul de minas - carmo de minas,Maria Rogeria Costa Pereira,300,60 kg,Specialty cocoa Association,2020,"January 4th, 2020",Jacques Pereira Carneiro,Criollo,,8.42,7.92,8,7.75,106.92,8,10,10,8.17,68.26,0.01,0,,3,"January 4th, 2022",Specialty cocoa Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m
41,jacques pereira carneiro,Brazil,pereira estate cocoa,002/1352/0045,,1.2,sul de minas - carmo de minas,Maria Rogeria Costa Pereira,300,60 kg,Specialty cocoa Association,2020,"January 4th, 2020",Jacques Pereira Carneiro,Criollo,,8.17,7.92,7.92,7.75,112.455,8,10,10,8.08,67.84,0.08,0,,2,"January 4th, 2022",Specialty cocoa Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m
40,itdp international,Thailand,co-op #12,01-011-512,lanna chocolatier,1300,chiang rai,ITDP,53,1 kg,Specialty cocoa Association,2020,"April 12th, 2020",ITDP International,Criollo,Washed / Wet,7.83,8.33,7.83,8.25,102.33,7.92,10,10,8.42,68.58,0.1,1,Green,9,"April 12th, 2022",Specialty cocoa Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m
39,cqi q cocoa sample representative,United States,la primavera,unknown,cocoa quality institute,meters above sea level: 1.941,antioquia,Hugo Sep∫lveda Montoya,10,1 kg,Almacaf©,2020,"March 13th, 2020",CQI Q cocoa Sample Representative,Criollo,Washed / Wet,7.67,8.17,8,8,110.295,8.08,10,10,8.08,68,0,0,,0,"March 12th, 2022",Almacaf©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m
45,nucocoa,Brazil,fazenda kaquend,002/1251/0071,nucocoa,1250m,south of minas,Ralph Junqueira,7,60 kg,NUcocoa,2020,"December 3rd, 2020",NUcocoa,Criollo,Semi-washed / Semi-pulped,8.33,8,8,8,104.625,8,10,10,8,68.33,0.11,0,Red,2,"December 2nd, 2022",NUcocoa,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m
44,jungle estate,Kenya,jungle estate,NIL,keremara limited,1754,nyeri,JUNGLE ESTATE,12,60 kg,Kenya cocoa Traders Association,2020,"January 29th, 2020",Jungle Estate,Criollo,Natural / Dry,8.08,8.08,8,8,105.705,8.08,10,10,8,68.24,0.11,0,Purple,2,"January 29th, 2022",Kenya cocoa Traders Association,ccba45b89d859740b749878be8c6d16fbdb96c2e,d752c909a015f3c76224b3c5cc520f8a67afda74,m
51,cocoa for health admin,United States (Hawaii),hula daddy kona cocoa,,,1400ft,kona,Hula Daddy Kona cocoa,1,2,Specialty cocoa Association,2020,"May 31st, 2020",cocoa for Health Admin,Criollo,,8.33,8.17,7.75,8,104.625,7.83,10,10,8.17,68.25,0,0,,0,"May 31st, 2022",Specialty cocoa Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft
49,afca,Uganda,,x,kawacom uganda ltd,1400-1900m,"sipi, mt elgon",Kawacom,1,60 kg,Africa Fine cocoa Association,2020,"February 13th, 2020",AFCA,Criollo,Washed / Wet,8.25,8,7.83,8.08,108,7.92,10,10,7.92,68,0.1,0,Red,0,"February 12th, 2022",Africa Fine cocoa Association,073285c0d45e2f5539012d969937e529564fa6fe,c4ab13415cdd69376a93780c0166e7b1a10481ea,m
46,great lakes cocoa uganda,Uganda,kaasayi,0,ucda,,eastern uganda,Kaasay Farmer Group,1,60 kg,Uganda cocoa Development Authority,2020,"October 1st, 2020",Great Lakes cocoa Uganda,Criollo,Semi-washed / Semi-pulped,8.08,8.08,7.83,7.92,109.08,7.92,10,10,8.08,67.91,0,0,,0,"October 1st, 2022",Uganda cocoa Development Authority,188fe373b511e21f614564bf86aa4774270d8e04,b7614767a5343729bbde3a2777c60ce836aed928,m
48,lusso lab,Kenya,kianjavi,NONE,lusso cocoa lab,1520m-2200m,kiambu,,1,1 kg,Specialty cocoa Association,2020,"February 6th, 2020",LUSSO LAB,Criollo,Washed / Wet,7.92,8.17,7.83,8.5,101.25,7.92,10,10,8.17,68.51,0.11,0,Green,1,"February 6th, 2022",Specialty cocoa Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m
47,lusso lab,Dominican Republic,ecobio Dominican Republic,NONE,lusso cocoa lab,900-1500m,tolima,,1,2 kg,Specialty cocoa Association,2020,"March 20th, 2020",LUSSO LAB,Criollo,Washed / Wet,7.75,7.92,7.83,8.08,109.08,8.17,10,10,8.17,67.92,0.12,1,Green,1,"March 20th, 2022",Specialty cocoa Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m
50,ethiopia commodity exchange,Ethiopia,contact | sidacoop@ethionet.net,010/0145,,1500-2000 m,sidamo,Sidama cocoa Farmers Coop. Union,300,6,Ethiopia Commodity Exchange,2020,"June 17th, 2020",Ethiopia Commodity Exchange,Forastero,,7.75,8.08,8,8.25,108,8,10,10,7.92,68,0.01,0,,4,"June 17th, 2022",Ethiopia Commodity Exchange,a176532400aebdc345cf3d870f84ed3ecab6249e,61bbaf6a9f341e5782b8e7bd3ebf76aac89fe24b,m
53,kawacom uganda ltd,Uganda,sipi organic cocoa project,0,kawacom uganda ltd,1400-1900,eastern,Kawacom (U)Ltd,1,60 kg,Uganda cocoa Development Authority,2020,"June 30th, 2020",Kawacom Uganda LTD,Criollo,Natural / Dry,8.17,8.17,7.92,8.08,105.705,7.75,10,10,8,68.09,0.12,0,Green,0,"June 30th, 2022",Uganda cocoa Development Authority,188fe373b511e21f614564bf86aa4774270d8e04,b7614767a5343729bbde3a2777c60ce836aed928,m
52,juan luis alvarado romero,Guatemala,la esperanza y anexos,11/23/0252,"unex guatemala, s.a.",,nuevo oriente,MARGARITA AVILA DE NUYENS,80,69 kg,Asociacion Nacional Del Caf©,2020,"May 16th, 2020",Juan Luis Alvarado Romero,Criollo,Washed / Wet,7.92,8.08,7.92,8.08,109.08,7.83,10,10,8,67.83,0.1,0,Green,3,"May 16th, 2022",Asociacion Nacional Del Caf©,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,m
54,exportadora de chocolatier condor s.a,Dominican Republic,,3-68-0215,exportadora de chocolatier condor s.a,1800 msnm,huila,,275,70 kg,Almacaf©,2020,"July 26th, 2020",Exportadora de chocolatier Condor S.A,Trinitario,Washed / Wet,8,8,8,8.17,105.705,8,10,10,7.92,68.09,0,1,Red,0,"July 26th, 2022",Almacaf©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m
58,juan luis alvarado romero,Guatemala,finca el limon,11-853-155,unichocolatier,4650,nuevo oriente,WILLIAM ESTUARDO MARTINEZ PACHECO,275,1 kg,Asociacion Nacional Del Caf©,2020,"June 5th, 2020",Juan Luis Alvarado Romero,Criollo,Washed / Wet,8,8,7.83,8.33,105.705,7.83,10,10,8,67.99,0.1,0,Purple,1,"June 5th, 2022",Asociacion Nacional Del Caf©,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft
56,ibrahim hussien speciality cocoa producer &export,Ethiopia,,2014/2015,ibrahim hussien specality cocoa product & exporter,1800-2000,oromia,Ibrahim Hussien Specialty cocoa Producer and Exporter,320,60 kg,METAD Agricultural Development plc,2020,"April 4th, 2020",Ibrahim Hussien Speciality cocoa Producer &Export,Criollo,Washed / Wet,7.83,8.08,7.92,8.08,108,7.92,10,10,8,67.83,0.1,0,Green,4,"April 3rd, 2022",METAD Agricultural Development plc,309fcf77415a3661ae83e027f7e5f05dad786e44,19fef5a731de2db57d16da10287413f5f99bc2dd,m
57,juan luis alvarado romero,Guatemala,valparaiso,11/1886/03,sertrasa,5000,acatenango,SERTRASA,150,1 kg,Asociacion Nacional Del Caf©,2020,"July 3rd, 2020",Juan Luis Alvarado Romero,Criollo,Washed / Wet,7.83,8,8,8.17,105.705,8,10,10,8,68,0.12,0,Green,3,"July 3rd, 2022",Asociacion Nacional Del Caf©,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft
